epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,47571.1,0.8237,0.66196,1.04634,0.77124,0.6504,0.73729,0.53571,1.04467,0.87632,1.15319,0.001618,0.001618,0.001618
129,48009.3,0.82521,0.65653,1.04437,0.75856,0.65852,0.73733,0.53595,1.04491,0.87658,1.15335,0.001552,0.001552,0.001552
130,48383.6,0.82632,0.65419,1.04482,0.75773,0.65987,0.73715,0.53588,1.0451,0.87671,1.1536,0.001486,0.001486,0.001486
131,48749.4,0.82807,0.65053,1.04463,0.76098,0.65888,0.73718,0.53567,1.04541,0.87703,1.15386,0.00142,0.00142,0.00142
132,49102.4,0.81326,0.63766,1.03609,0.7587,0.65999,0.73715,0.53567,1.0457,0.87726,1.15393,0.001354,0.001354,0.001354
133,49456.7,0.81625,0.64432,1.04042,0.75995,0.65936,0.73701,0.53552,1.04579,0.87755,1.15397,0.001288,0.001288,0.001288
134,49817.4,0.81137,0.63599,1.038,0.76232,0.65728,0.737,0.53556,1.04599,0.87812,1.1541,0.001222,0.001222,0.001222
135,50171.5,0.81116,0.63141,1.03703,0.76225,0.65683,0.73652,0.53541,1.04622,0.87857,1.15419,0.001156,0.001156,0.001156
136,50521.1,0.80449,0.62569,1.02784,0.76364,0.6559,0.73628,0.53525,1.04662,0.87919,1.15443,0.00109,0.00109,0.00109
137,50876.7,0.80436,0.6207,1.02945,0.76396,0.65656,0.73657,0.5351,1.04684,0.8797,1.15467,0.001024,0.001024,0.001024
138,51231.8,0.79668,0.61147,1.0274,0.76339,0.65612,0.73642,0.53534,1.04738,0.87988,1.15523,0.000958,0.000958,0.000958
139,51586.8,0.79333,0.60956,1.02841,0.76412,0.6568,0.73655,0.53508,1.04764,0.88066,1.15532,0.000892,0.000892,0.000892
140,51941.5,0.79178,0.60892,1.02664,0.76696,0.65498,0.73662,0.53479,1.04808,0.88147,1.15574,0.000826,0.000826,0.000826
141,52611.4,0.78623,0.53496,1.00208,0.76228,0.65748,0.73636,0.53491,1.04846,0.88169,1.15599,0.00076,0.00076,0.00076
142,53254,0.77434,0.52215,0.9937,0.76382,0.65666,0.73626,0.53494,1.0493,0.88197,1.15681,0.000694,0.000694,0.000694
143,53892.1,0.77356,0.51645,0.99487,0.76352,0.6577,0.73643,0.53506,1.04973,0.88259,1.15707,0.000628,0.000628,0.000628
144,54532.3,0.76521,0.50641,0.98706,0.76976,0.65269,0.7363,0.53506,1.05034,0.88368,1.15728,0.000562,0.000562,0.000562
145,55170.6,0.7624,0.5052,0.98616,0.76925,0.65423,0.73636,0.53503,1.05102,0.88465,1.15785,0.000496,0.000496,0.000496
146,55812.4,0.75877,0.49804,0.9862,0.77072,0.65269,0.736,0.53494,1.05154,0.88522,1.15844,0.00043,0.00043,0.00043
147,56448.6,0.75111,0.49392,0.98107,0.77216,0.65255,0.73622,0.53502,1.05222,0.88593,1.15903,0.000364,0.000364,0.000364
148,57086.7,0.75035,0.49122,0.98142,0.77183,0.65254,0.73564,0.53462,1.05275,0.88668,1.15959,0.000298,0.000298,0.000298
149,57723.3,0.74603,0.48708,0.97967,0.77176,0.65238,0.7356,0.53464,1.05323,0.88748,1.16019,0.000232,0.000232,0.000232
150,58357.3,0.74517,0.4854,0.97928,0.77315,0.65205,0.73566,0.53477,1.05377,0.8882,1.16062,0.000166,0.000166,0.000166
